business_name,categories,address,rating,latitude,longitude,review_count
3rd Street Tunnel,Landmarks & Historical Buildings,"3RD St, Los Angeles, CA 90810",4.0,34.054656639525,-118.253917254627,4
San Julian Park,Parks,"526 San Julian St, Los Angeles, CA 90013",3.0,34.0444664108276,-118.24538565219,11
The Petroleum Building,Landmarks & Historical Buildings,"714 W Olympic Blvd, Los Angeles, CA 90015",5.0,34.044421,-118.263285,2
Nike SB 20th Year Exhibition,Museums,"905 S Hill St, Los Angeles, CA 90015",5.0,34.04289912704619,-118.2575456,1
Public Utilities Commission,Landmarks & Historical Buildings,"320 W 4th St, Ste 500, Los Angeles, CA 90013",1.0,34.049904561301894,-118.24992947281154,7
Guatemalan House of Culture,Museums,"1138 Wilshire Blvd, Ste 300, Los Angeles, CA 90017",2.5,34.0526686,-118.2644329,3
Otium,American (New),"222 S Hope St, Los Angeles, CA 90012",4.0,34.054358,-118.251339,2435
Agua Viva,"Latin American, Asian Fusion","100 South Grand Ave, Los Angeles, CA 90012",4.0,34.05536,-118.24879,199
asterid,American (New),"141 S Grand Ave, Walt Disney Concert Hall, Los Angeles, CA 90012",4.0,34.0547987,-118.2497291,145
San Laurel,"Spanish, Breakfast & Brunch, Cocktail Bars","100 S Grand Ave, Los Angeles, CA 90012",4.0,34.05536,-118.24879,189
Au Lac,"Vegan, Vietnamese, Juice Bars & Smoothies","710 W 1st St, Los Angeles, CA 90012",4.5,34.05621949169027,-118.25085847283314,1156
